Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_4u7_0603","0603-cap",139.050000,-105.200000,180.000000,top
"C2","C_4u7_0603","0603-cap",136.190000,-103.720000,0.000000,top
"C3","C_100p_0402","0402-cap",135.380000,-111.380000,90.000000,top
"C4","C_22u_0603","0603-cap",136.680000,-111.180000,90.000000,top
"C5","C_4u7_0603","0603-cap",129.290000,-102.230000,90.000000,top
"C6","C_12p_0402","0402-cap",156.290000,-99.210000,0.000000,top
"C7","C_12p_0402","0402-cap",152.660000,-97.150000,90.000000,top
"C8","C_100n_0402_6V3","0402-cap",148.430000,-100.650000,90.000000,top
"C9","C_100n_0402_6V3","0402-cap",159.570000,-106.210000,270.000000,top
"C10","C_100n_0402_6V3","0402-cap",142.870000,-99.850000,0.000000,top
"C11","C_100n_0402_6V3","0402-cap",140.901000,-105.193000,90.000000,top
"C12","C_100n_0402_6V3","0402-cap",149.840000,-99.230000,180.000000,top
"C13","C_100n_0402_6V3","0402-cap",159.200000,-103.520000,0.000000,top
"C14","C_4u7_0603","0603-cap",149.650000,-97.450000,90.000000,top
"C15","C_100n_0402_6V3","0402-cap",145.315000,-106.320000,180.000000,top
"C16","C_4u7_0603","0603-cap",151.040000,-97.450000,90.000000,top
"C17","C_100n_0402_6V3","0402-cap",157.110000,-108.590000,0.000000,top
"C18","C_100n_0402_6V3","0402-cap",168.380000,-112.100000,270.000000,top
"D1","MBR0520LT1G","SOD-123",126.600000,-99.450000,0.000000,top
"D2","LG_L29K-G2J1-24-Z","LED_0603",138.930000,-103.730000,180.000000,top
"D3","TPD2EUSB30DRTR","SOT-3",129.450000,-104.450000,90.000000,top
"D4","ASMB-MTB1-0A3A2","LED-PLCC4_3.2x2.8mm_B",140.000000,-99.630000,270.000000,top
"D5","TPD2EUSB30DRTR","SOT-3",162.380000,-110.170000,180.000000,top
"D6","SD05C.TCT","SOD-323-SD05",165.420000,-112.220000,180.000000,top
"D11","TPD2EUSB30DRTR","SOT-3",166.750000,-103.140000,0.000000,top
"IC1","EOS-S3-QFN","QFN-64_EP_8.5x8.5_EOS",152.360000,-104.990000,45.000000,top
"J4","S2B-PH-SM4-TB_LF__SN_","PinHeader_2x1mm_P2mm_SMD_RA",133.769100,-100.900000,0.000000,top
"J5","0473460001","USB_Micro_B_Female_0473460001",124.820000,-105.003600,90.000000,top
"J6","FTSH-105-01-L-DV-K","PinHeader_2x5_P1.27_SMD",167.160000,-107.543600,90.000000,top
"L1","DFE201610E-R47M=P2","0806",138.380000,-110.730000,270.000000,top
"Q1","NX3008CBKV","SOT-563",145.380000,-99.440000,90.000000,top
"Q2","2N7002PV","SOT-563",164.640000,-102.760000,0.000000,top
"Q3","2N7002PV","SOT-563",162.090000,-102.230000,0.000000,top
"R1","R_100k_0402","0402-res",136.880000,-105.480000,0.000000,top
"R2","R_4k7_0402","0402-res",129.660000,-105.890000,180.000000,top
"R3","R_1k5_0402","0402-res",135.400000,-105.460000,270.000000,top
"R4","R_453k_0402","0402-res",135.400000,-109.440000,90.000000,top
"R5","R_100k_0402","0402-res",135.390000,-107.450000,90.000000,top
"R6","R_10k_0402","0402-res",127.670000,-110.690000,270.000000,top
"R7","R_22R_0402","0402-res",149.360000,-111.540000,270.000000,top
"R8","R_10k_0402","0402-res",138.370000,-113.110000,0.000000,top
"R9","R_1k5_0402","0402-res",150.470000,-111.580000,270.000000,top
"R10","R_10k_0402","0402-res",148.220000,-109.380000,270.000000,top
"R11","R_22R_0402","0402-res",148.250000,-111.520000,270.000000,top
"R12","R_100k_0402","0402-res",145.490000,-97.670000,0.000000,top
"R13","R_100R_0402","0402-res",159.560000,-108.140000,90.000000,top
"R14","R_10k_0402","0402-res",145.311000,-103.723000,180.000000,top
"R15","R_10k_0402","0402-res",147.480000,-101.570000,90.000000,top
"R16","R_200k_0402","0402-res",148.300000,-98.600000,90.000000,top
"R17","R_100k_0402","0402-res",147.350000,-99.610000,270.000000,top
"R18","R_4k7_0402","0402-res",142.181000,-106.623000,0.000000,top
"R19","R_10k_0402","0402-res",140.980000,-102.845000,90.000000,top
"R20","R_4k7_0402","0402-res",143.841000,-106.493000,90.000000,top
"R21","R_10k_0402","0402-res",156.330000,-100.260000,180.000000,top
"R22","R_10k_0402","0402-res",159.650000,-102.250000,180.000000,top
"R23","R_10k_0402","0402-res",162.720000,-99.670000,270.000000,top
"R24","R_100R_0402","0402-res",139.200000,-102.420000,180.000000,top
"R25","R_220R_0402","0402-res",142.870000,-97.790000,180.000000,top
"R26","R_100R_0402","0402-res",142.860000,-98.900000,180.000000,top
"R28","R_22R_0402","0402-res",148.570000,-113.190000,180.000000,top
"R29","R_22R_0402","0402-res",150.515000,-113.200000,180.000000,top
"R30","EXB2HV220JV","R_Array_Convex_8x0602",156.990000,-111.260000,90.000000,top
"R31","R_10k_0402","0402-res",162.730000,-97.700000,90.000000,top
"R32","R_10k_0402","0402-res",162.390000,-108.740000,180.000000,top
"R33","EXB2HV220JV","R_Array_Convex_8x0602",172.411000,-100.343000,0.000000,top
"R34","R_10k_0402","0402-res",160.850000,-110.030000,90.000000,top
"R35","R_22R_0402","0402-res",125.610000,-110.690000,270.000000,top
"R36","R_10k_0402","0402-res",126.650000,-110.690000,270.000000,top
"R37","R_10k_0402","0402-res",158.520000,-108.130000,270.000000,top
"R38","R_22R_0402","0402-res",141.540000,-96.750000,180.000000,top
"R39","R_22R_0402","0402-res",143.500000,-96.740000,0.000000,top
"R40","R_22R_0402","0402-res",145.470000,-96.750000,180.000000,top
"R41","EXB2HV220JV","R_Array_Convex_8x0602",159.600000,-98.640000,90.000000,top
"R42","EXB2HV220JV","R_Array_Convex_8x0602",172.411000,-105.643000,0.000000,top
"S1","KMR2","SW_SPST_4.2x2.8",131.830000,-112.150000,0.000000,top
"S2","KMR2","SW_SPST_4.2x2.8",131.830000,-108.450000,0.000000,top
"U1","TPS62821DLCR","QFN-8_2x1mm",137.610000,-107.400000,0.000000,top
"U2","MCP73831T-2ACI_OT","SOT-753",132.700000,-104.730000,90.000000,top
"U3","GD25Q16CWIGR","GD25Q16CWIG",143.400000,-110.400000,0.000000,top
"U5","MC3635","MC3635",142.550000,-104.520000,180.000000,top
"X1","ECS-_327-12_5-34B-TR","SMD-2_3.2x1.5mm",155.230000,-97.430000,0.000000,top
